patient_id,species,admission_date,final_date,status,found_city,found_state,found_county,new_location,stay_length,admit_year,admit_month
2017-0005,EASO,2017-01-11,2017-04-12,R,Morgonton,NC,Burke,"BURKE COUNTY, NC",91,2017,1
2017-0006,RUDU,2017-01-12,2017-02-11,R,Roan Mtn,NC,Mitchell,"MITCHELL COUNTY, NC",30,2017,1
2017-0008,RTHA,2017-01-13,2017-01-13,E24,Boone,NC,Watauga,"WATAUGA COUNTY, NC",0,2017,1
2017-0009,EASO,2017-01-13,2017-03-05,R,Spruce Pine,NC,Mitchell,"MITCHELL COUNTY, NC",51,2017,1
2017-0010,WITU,2017-01-14,2017-01-14,EOA,Banner Elk,NC,Avery,"AVERY COUNTY, NC",0,2017,1
2017-0011,YBSA,2017-01-15,2017-02-01,E,asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",17,2017,1
2017-0012,RTHA,2017-01-15,2017-04-13,R,Sylva,NC,Jackson,"JACKSON COUNTY, NC",88,2017,1
2017-0013,CACH,2017-01-16,2017-01-18,D,Boone,NC,Watauga,"WATAUGA COUNTY, NC",2,2017,1
2017-0014,CAWR,2017-01-18,2017-02-01,R,Linville,NC,Avery,"AVERY COUNTY, NC",14,2017,1
2017-0015,EASO,2017-01-18,2017-03-04,R,Banner Elk,NC,Avery,"AVERY COUNTY, NC",45,2017,1
2017-0016,RUGR,2017-01-18,2017-01-18,DOA,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",0,2017,1
2017-0017,PELE,2017-01-20,2017-01-24,D,Banner Elk,NC,UNKNOWN,"UNKNOWN COUNTY, NC",4,2017,1
2017-0018,RTHA,2017-01-20,2017-08-21,E,Marion,NC,Mcdowell,"MCDOWELL COUNTY, NC",213,2017,1
2017-0019,BDOW,2017-01-23,2017-02-06,R,Silva,NC,Jackson,"JACKSON COUNTY, NC",14,2017,1
2017-0031,ELOB,2017-02-24,2017-03-19,R,Raleigh,NC,Wake,"WAKE COUNTY, NC",23,2017,2
2017-0276,TAHU,2017-05-15,2017-05-16,D24,Banner Elk,NC,Avery,"AVERY COUNTY, NC",1,2017,5
2017-0021,EASO,2017-02-08,2017-02-23,R,Linville,NC,Avery,"AVERY COUNTY, NC",15,2017,2
2017-0024,MODO,2017-02-10,2017-04-09,R,Morganton,NC,Burke,"BURKE COUNTY, NC",58,2017,2
2017-0022,CHSE,2017-02-09,2017-09-11,T,Newland,NC,Avery,"AVERY COUNTY, NC",214,2017,2
2017-0025,RTHA,2017-02-11,2017-04-26,R,Banner Elk,NC,Avery,"AVERY COUNTY, NC",74,2017,2
2017-0026,MODO,2017-02-16,2017-04-09,R,Hudson,NC,Catawba,"CATAWBA COUNTY, NC",52,2017,2
2017-0027,MODO,2017-02-16,2017-04-09,R,Morganton,NC,Burke,"BURKE COUNTY, NC",52,2017,2
2017-0028,EASO,2017-02-18,2017-04-10,R,Wilkesboro,NC,Wilkes,"WILKES COUNTY, NC",51,2017,2
2017-0029,NOMO,2017-02-18,2017-04-10,R,Morganton,NC,Burke,"BURKE COUNTY, NC",51,2017,2
2017-0023,MAMO,2017-02-20,2017-03-01,D,Burnsville,NC,Yancey,"YANCEY COUNTY, NC",9,2017,2
2017-0030,HOSP,2017-02-23,2017-02-24,D24,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",1,2017,2
2017-0032,TRSC,2017-02-24,2017-02-24,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",0,2017,2
2017-0048,COHA,2017-03-16,2017-03-20,D,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",4,2017,3
2017-0033,SCCA,2017-03-01,2017-04-12,T,Sherrills Ford,NC,Catawba,"CATAWBA COUNTY, NC",42,2017,3
2017-0034,SCCA,2017-03-01,2017-04-12,T,Sherrills Ford,NC,Catawba,"CATAWBA COUNTY, NC",42,2017,3
2017-0035,SYFL,2017-03-03,2017-03-03,E,Banner Elk,NC,Avery,"AVERY COUNTY, NC",0,2017,3
2017-0036,NOCA,2017-03-04,2017-03-04,E,Vilas,NC,Watauga,"WATAUGA COUNTY, NC",0,2017,3
2017-0056,SYFL,2017-03-23,2017-03-31,E,Beech Mt.,NC,Avery,"AVERY COUNTY, NC",8,2017,3
2017-0039,NOCA,2017-03-07,2017-03-07,DOA,Morganton,NC,Burke,"BURKE COUNTY, NC",0,2017,3
2017-0040,EASO,2017-03-10,2017-05-26,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",77,2017,3
2017-0041,GBHE,2017-03-10,2017-03-20,E,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",10,2017,3
2017-0042,AMGO,2017-03-11,2017-03-14,D,Jefferson,NC,Ashe,"ASHE COUNTY, NC",3,2017,3
2017-0043,BLJA,2017-03-13,2020-04-17,D,Verona,PA,UNKNOWN,OTHER,1131,2017,3
2017-0044,SCCA,2017-03-14,2017-04-12,T,Morgonton,NC,Burke,"BURKE COUNTY, NC",29,2017,3
2017-0045,SCCA,2017-03-14,2017-04-12,T,Morgonton,NC,Burke,"BURKE COUNTY, NC",29,2017,3
2017-0046,SCCA,2017-03-14,2017-04-20,T,Morgonton,NC,Burke,"BURKE COUNTY, NC",37,2017,3
2017-0051,EAPH,2017-03-16,2017-04-12,R,Fleetwood,NC,UNKNOWN,"UNKNOWN COUNTY, NC",27,2017,3
2017-0047,EASO,2017-03-15,2017-06-15,T,Hickory,NC,Catawba,"CATAWBA COUNTY, NC",92,2017,3
2017-0049,AMGO,2017-03-16,2017-10-26,D,Weaverville,NC,Buncombe,"BUNCOMBE COUNTY, NC",224,2017,3
2017-0050,RODO,2017-03-16,2017-04-22,R,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",37,2017,3
2017-0052,ELOB,2017-03-19,2017-07-30,D,Indian Trail,NC,Union,"UNION COUNTY, NC",133,2017,3
2017-0053,MODO,2017-03-20,2017-05-31,E,Boone,NC,Watauga,"WATAUGA COUNTY, NC",72,2017,3
2017-0054,EASO,2017-03-21,2017-04-12,R,Morganton,NC,Burke,"BURKE COUNTY, NC",22,2017,3
2017-0055,BDOW,2017-03-21,2017-03-22,D24,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",1,2017,3
2017-0057,EASO,2017-03-23,2017-05-10,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",48,2017,3
2017-0058,BDOW,2017-03-25,2017-06-03,R,Linville,NC,Avery,"AVERY COUNTY, NC",70,2017,3
2017-0059,CEWA,2017-03-26,2017-05-26,R,Chapel Hill,NC,Orange,"ORANGE COUNTY, NC",61,2017,3
2017-0060,SYFL,2017-03-26,2017-04-05,R,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",10,2017,3
2017-0061,SCCA,2017-03-26,2017-04-12,T,Oteen,NC,UNKNOWN,"UNKNOWN COUNTY, NC",17,2017,3
2017-0062,SCCA,2017-03-26,2017-04-12,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",17,2017,3
2017-0063,SCCA,2017-03-26,2017-04-12,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",17,2017,3
2017-0114,MODO,2017-04-12,2017-04-12,D24,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",0,2017,4
2017-0064,SCCA,2017-03-26,2017-03-29,D,Rutherfordton,NC,Rutherford,"RUTHERFORD COUNTY, NC",3,2017,3
2017-0065,RODO,2017-03-26,2017-04-22,R,Ashville,NC,UNKNOWN,"UNKNOWN COUNTY, NC",27,2017,3
2017-0066,MIPE,2017-03-28,2017-03-29,E24,Marshall,NC,Madison,"MADISON COUNTY, NC",1,2017,3
2017-0067,DIVI,2017-03-28,2017-03-31,D,Morganton,NC,Burke,"BURKE COUNTY, NC",3,2017,3
2017-0068,RBWO,2017-03-29,2017-04-01,D,Morganton,NC,Burke,"BURKE COUNTY, NC",3,2017,3
2017-0069,SYFL,2017-03-30,2017-04-15,R,Elk Park,NC,Avery,"AVERY COUNTY, NC",16,2017,3
2017-0070,SYFL,2017-03-30,2017-04-15,R,Elk Park,NC,Avery,"AVERY COUNTY, NC",16,2017,3
2017-0071,SYFL,2017-03-30,2017-04-15,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",16,2017,3
2017-0072,SYFL,2017-03-30,2017-04-15,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",16,2017,3
2017-0073,DIVI,2017-03-30,2017-03-30,D24,Boone,NC,Watauga,"WATAUGA COUNTY, NC",0,2017,3
2017-0118,SYFL,2017-04-15,2017-04-28,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",13,2017,4
2017-0074,EASO,2017-03-30,2017-04-05,E,Sylva,NC,Jackson,"JACKSON COUNTY, NC",6,2017,3
2017-0075,SCCA,2017-03-31,2017-04-12,T,Morganton,NC,Burke,"BURKE COUNTY, NC",12,2017,3
2017-0076,SCCA,2017-03-31,2017-04-12,T,Morganton,NC,Burke,"BURKE COUNTY, NC",12,2017,3
2017-0077,SCCA,2017-03-31,2017-04-12,T,Morganton,NC,Burke,"BURKE COUNTY, NC",12,2017,3
2017-0078,SCCA,2017-03-31,2017-04-12,T,Morganton,NC,Burke,"BURKE COUNTY, NC",12,2017,3
2017-0079,SCCA,2017-03-31,2017-04-20,T,Morganton,NC,Burke,"BURKE COUNTY, NC",20,2017,3
2017-0080,SCCA,2017-03-31,2017-04-20,T,Morganton,NC,Burke,"BURKE COUNTY, NC",20,2017,3
2017-0081,SCCA,2017-03-31,2017-04-20,T,Morganton,NC,Burke,"BURKE COUNTY, NC",20,2017,3
2017-0082,CAWR,2017-03-31,2017-04-03,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",3,2017,3
2017-0083,CAWR,2017-03-31,2017-04-03,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",3,2017,3
2017-0084,CAWR,2017-03-31,2017-04-03,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",3,2017,3
2017-0085,CAWR,2017-03-31,2017-04-03,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",3,2017,3
2017-0086,CAWR,2017-03-31,2017-04-03,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",3,2017,3
2017-0088,PBGR,2017-04-01,2017-04-03,R,Valdese,NC,Burke,"BURKE COUNTY, NC",2,2017,4
2017-0093,SCCA,2017-04-02,2017-04-20,T,Efland,NC,Orange,"ORANGE COUNTY, NC",18,2017,4
2017-0089,COHA,2017-04-02,2017-04-15,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",13,2017,4
2017-0090,SCCA,2017-04-02,2017-06-12,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",71,2017,4
2017-0091,PELE,2017-04-02,2017-04-02,D,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",0,2017,4
2017-0092,PELE,2017-04-02,2017-04-03,D,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",1,2017,4
2017-0094,MODO,2017-04-04,2017-04-04,DOA,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",0,2017,4
2017-0087,CAGO,2017-04-04,2017-04-04,EOA,Hickory,NC,Catawba,"CATAWBA COUNTY, NC",0,2017,4
2017-0095,SYFL,2017-04-04,2017-04-05,D24,Boone,NC,Watauga,"WATAUGA COUNTY, NC",1,2017,4
2017-0096,SCCA,2017-04-05,2017-04-20,T,Hickory,NC,Catawba,"CATAWBA COUNTY, NC",15,2017,4
2017-0097,EASO,2017-04-06,2017-05-31,E,Lenior,NC,UNKNOWN,"UNKNOWN COUNTY, NC",55,2017,4
2017-0098,SYFL,2017-04-06,2017-04-28,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",22,2017,4
2017-0099,SYFL,2017-04-06,2017-04-22,D,Boone,NC,Watauga,"WATAUGA COUNTY, NC",16,2017,4
2017-0100,SYFL,2017-04-06,2017-04-28,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",22,2017,4
2017-0122,HOME,2017-04-16,2017-04-16,EOA,Pawleys Island,SC,UNKNOWN,SC,0,2017,4
2017-0101,????,2017-04-06,2017-04-08,D,Banner Elk,NC,Avery,"AVERY COUNTY, NC",2,2017,4
2017-0102,DIVI,2017-04-09,2017-04-09,EOA,Newland,NC,Avery,"AVERY COUNTY, NC",0,2017,4
2017-0103,SYFL,2017-04-10,2017-04-14,R,Newland,NC,Avery,"AVERY COUNTY, NC",4,2017,4
2017-0104,SCCA,2017-04-10,2017-04-20,T,Banner Elk,NC,Avery,"AVERY COUNTY, NC",10,2017,4
2017-0105,DIVI,2017-04-10,2017-05-09,R,Boonville,NC,Yadkin,"YADKIN COUNTY, NC",29,2017,4
2017-0106,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0107,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0108,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0109,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0110,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0111,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0112,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0113,DIVI,2017-04-10,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",29,2017,4
2017-0195,MODO,2017-04-28,2017-09-22,R,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",147,2017,4
2017-0204,BRTH,2017-05-01,2017-05-02,D,Lenoir,NC,Caldwell,"CALDWELL COUNTY, NC",1,2017,5
2017-0115,AMGO,2017-04-13,2017-11-26,D,Banner Elk,NC,Avery,"AVERY COUNTY, NC",227,2017,4
2017-0316,DOWO,2017-05-22,2017-05-23,D24,Newland,NC,Avery,"AVERY COUNTY, NC",1,2017,5
2017-0116,BWHA,2017-04-13,2017-04-13,EOA,Clinton,NY,UNKNOWN,OTHER,0,2017,4
2017-0117,TRSC,2017-04-14,2017-06-21,E,Pawleys Island,SC,UNKNOWN,SC,68,2017,4
2017-0190,DIVI,2017-04-28,2017-04-28,E,Newland,NC,Avery,"AVERY COUNTY, NC",0,2017,4
2017-0152,SYFL,2017-04-18,2017-04-26,D,Spruce Pine,NC,Mitchell,"MITCHELL COUNTY, NC",8,2017,4
2017-0119,SYFL,2017-04-15,2017-04-28,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",13,2017,4
2017-0120,SYFL,2017-04-15,2017-04-28,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",13,2017,4
2017-0121,SYFL,2017-04-15,2017-04-28,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",13,2017,4
2017-0123,DIVI,2017-04-16,2017-05-09,R,Boone,NC,UNKNOWN,"UNKNOWN COUNTY, NC",23,2017,4
2017-0124,DIVI,2017-04-16,2017-05-09,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",23,2017,4
2017-0125,DIVI,2017-04-17,2017-04-27,E,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",10,2017,4
2017-0126,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0127,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0128,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0129,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0130,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0131,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0132,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0133,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0134,DIVI,2017-04-17,2017-05-26,R,Candler,NC,Buncombe,"BUNCOMBE COUNTY, NC",39,2017,4
2017-0135,EASO,2017-04-17,2017-04-17,EOA,Green Mountain,NC,Yancey,"YANCEY COUNTY, NC",0,2017,4
2017-0136,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0137,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0138,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0139,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0140,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0141,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0142,DIVI,2017-04-17,2017-04-20,D,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",3,2017,4
2017-0143,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0144,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0145,DIVI,2017-04-17,2017-04-18,D24,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",1,2017,4
2017-0146,DIVI,2017-04-17,2017-05-16,T,Horse Shoe,NC,Henderson,"HENDERSON COUNTY, NC",29,2017,4
2017-0147,DIVI,2017-04-17,2017-05-09,R,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",22,2017,4
2017-0148,DIVI,2017-04-17,2017-05-09,R,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",22,2017,4
2017-0149,PELE,2017-04-17,2017-05-09,R,Sylva,NC,Jackson,"JACKSON COUNTY, NC",22,2017,4
2017-0150,MODO,2017-04-17,2017-06-25,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",69,2017,4
2017-0154,BDOW,2017-04-19,2017-04-20,T,Morganton,NC,Burke,"BURKE COUNTY, NC",1,2017,4
2017-0151,THSI,2017-04-17,2017-04-20,R,Banner Elk,NC,Avery,"AVERY COUNTY, NC",3,2017,4
2017-0159,MALL,2017-04-21,2017-06-02,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",42,2017,4
2017-0153,DIVI,2017-04-18,2017-04-18,E,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",0,2017,4
2017-0155,SYFL,2017-04-20,2017-04-20,E24,Boone,NC,Watauga,"WATAUGA COUNTY, NC",0,2017,4
2017-0156,DIVI,2017-04-20,2017-05-11,D,Banner Elk,NC,Avery,"AVERY COUNTY, NC",21,2017,4
2017-0157,DIVI,2017-04-20,2017-05-05,D,Banner Elk,NC,Avery,"AVERY COUNTY, NC",15,2017,4
2017-0158,DIVI,2017-04-20,2017-05-15,D,Banner Elk,NC,Avery,"AVERY COUNTY, NC",25,2017,4
2017-0160,HOFI,2017-04-21,2017-04-24,D,Morganton,NC,Burke,"BURKE COUNTY, NC",3,2017,4
2017-0161,DIVI,2017-04-21,2017-05-09,R,Blowing Rock,NC,Watauga,"WATAUGA COUNTY, NC",18,2017,4
2017-0162,SYFL,2017-04-22,2017-04-26,T,Pineola,NC,Avery,"AVERY COUNTY, NC",4,2017,4
2017-0163,SYFL,2017-04-22,2017-04-26,T,Pineola,NC,Avery,"AVERY COUNTY, NC",4,2017,4
2017-0164,SYFL,2017-04-22,2017-04-26,T,Pineola,NC,UNKNOWN,"UNKNOWN COUNTY, NC",4,2017,4
2017-0165,CAGO,2017-04-23,2017-04-30,T,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",7,2017,4
2017-0166,MALL,2017-04-23,2017-04-30,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",7,2017,4
2017-0167,SCCA,2017-04-23,2017-04-23,EOA,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",0,2017,4
2017-0168,HOSP,2017-04-23,2017-06-16,R,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",54,2017,4
2017-0169,PEDU,2017-04-23,2017-05-11,T,Foscoe,NC,UNKNOWN,"UNKNOWN COUNTY, NC",18,2017,4
2017-0170,SYFL,2017-04-23,2017-05-09,R,Lake James,NC,UNKNOWN,"UNKNOWN COUNTY, NC",16,2017,4
2017-0171,SYFL,2017-04-23,2017-05-09,R,Lake James,NC,UNKNOWN,"UNKNOWN COUNTY, NC",16,2017,4
2017-0220,TAST,2017-05-06,2017-05-07,D24,Banner Elk,NC,Avery,"AVERY COUNTY, NC",1,2017,5
2017-0172,DIVI,2017-04-24,2017-05-16,T,Spruce Pine,NC,Mitchell,"MITCHELL COUNTY, NC",22,2017,4
2017-0173,DIVI,2017-04-24,2017-05-16,T,Spruce Pine,NC,Mitchell,"MITCHELL COUNTY, NC",22,2017,4
2017-0174,DIVI,2017-04-24,2017-05-16,T,Spruce Pine,NC,Mitchell,"MITCHELL COUNTY, NC",22,2017,4
2017-0175,DIVI,2017-04-24,2017-05-16,T,Spruce Pine,NC,Mitchell,"MITCHELL COUNTY, NC",22,2017,4
2017-0182,BWHA,2017-04-26,2017-05-24,E,Crossnore,NC,Avery,"AVERY COUNTY, NC",28,2017,4
2017-0176,SYFL,2017-04-25,2017-05-26,R,Boone,NC,UNKNOWN,"UNKNOWN COUNTY, NC",31,2017,4
2017-0177,CAGO,2017-04-25,2017-04-29,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",4,2017,4
2017-0178,EUST,2017-04-25,2017-05-17,D,Rutherfordton,NC,Rutherford,"RUTHERFORD COUNTY, NC",22,2017,4
2017-0179,EUST,2017-04-25,2017-05-26,R,rutherfordton,NC,UNKNOWN,"UNKNOWN COUNTY, NC",31,2017,4
2017-0180,EUST,2017-04-25,2017-05-26,R,Rutherfordton,NC,Rutherford,"RUTHERFORD COUNTY, NC",31,2017,4
2017-0212,MAMO,2017-05-04,2017-05-09,T,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",5,2017,5
2017-0181,SYFL,2017-04-25,2017-04-26,T,Banner Elk,NC,Avery,"AVERY COUNTY, NC",1,2017,4
2017-0183,NOFL,2017-04-27,2017-05-14,R,Hampton,TN,UNKNOWN,TN,17,2017,4
2017-0191,CAGO,2017-04-28,2017-05-16,R,Banner Elk,NC,Avery,"AVERY COUNTY, NC",18,2017,4
2017-0184,SYFL,2017-04-27,2017-05-09,R,Newland,NC,Avery,"AVERY COUNTY, NC",12,2017,4
2017-0185,PELE,2017-04-27,2017-05-09,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",12,2017,4
2017-0186,PELE,2017-04-27,2017-05-09,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",12,2017,4
2017-0187,PELE,2017-04-27,2017-04-28,D24,Boone,NC,Watauga,"WATAUGA COUNTY, NC",1,2017,4
2017-0188,PELE,2017-04-27,2017-05-09,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",12,2017,4
2017-0189,PELE,2017-04-27,2017-05-09,R,Boone,NC,Watauga,"WATAUGA COUNTY, NC",12,2017,4
2017-0192,CAWR,2017-04-28,2017-06-16,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",49,2017,4
2017-0193,CAWR,2017-04-28,2017-06-02,E,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",35,2017,4
2017-0194,CAWR,2017-04-28,2017-06-16,R,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",49,2017,4
2017-0196,HOFI,2017-04-28,2017-05-01,D,Asheville,NC,Buncombe,"BUNCOMBE COUNTY, NC",3,2017,4
2017-0197,MALL,2017-04-28,2017-05-11,T,Waynesville,NC,Haywood,"HAYWOOD COUNTY, NC",13,2017,4
2017-0198,KILL,2017-04-29,2017-04-29,EOA,Banner Elk,NC,Avery,"AVERY COUNTY, NC",0,2017,4
2017-0199,RODO,2017-04-30,2017-05-16,T,Swannanoa,NC,Buncombe,"BUNCOMBE COUNTY, NC",16,2017,4
2017-0200,SCCA,2017-05-01,2017-05-03,T,Banner Elk,NC,Avery,"AVERY COUNTY, NC",2,2017,5
2017-0201,SCCA,2017-05-01,2017-05-03,T,,NC,UNKNOWN,"UNKNOWN COUNTY, NC",2,2017,5
2017-0202,EUST,2017-05-01,2017-05-26,R,Rutherfordton,NC,Rutherford,"RUTHERFORD COUNTY, NC",25,2017,5
2017-0203,ELOB,2017-05-01,2017-05-01,DOA,Rutherfordton,NC,Rutherford,"RUTHERFORD COUNTY, NC",0,2017,5
2017-0205,DIVI,2017-05-02,2017-09-17,R,Sugar Grove,NC,Watauga,"WATAUGA COUNTY, NC",138,2017,5
2017-0206,TAST,2017-05-02,2017-05-03,D24,Winston Salem,NC,Forsyth,"FORSYTH COUNTY, NC",1,2017,5
2017-0207,AMRO,2017-05-02,2017-06-26,R,Newland,NC,Avery,"AVERY COUNTY, NC",55,2017,5
2017-0208,TAST,2017-05-03,2017-05-09,R,Elk Park,NC,Avery,"AVERY COUNTY, NC",6,2017,5
2017-0209,SYFL,2017-05-03,2017-05-09,R,Banner Elk,NC,Avery,"AVERY COUNTY, NC",6,2017,5
