species,common_name,species_count,animal_class
RBNU,Red-breasted nuthatch,3,avian
RBWO,Red-bellied woodpecker,45,avian
SCAQ,Eastern mole,1,mammal
SCCA,Eastern gray squirrel,397,mammal
MIPE,Meadow Vole,14,mammal
SCTA,Scarlet tanager,5,avian
CHWW,Chuck-wills-widow,1,avian
SOSP,Song sparrow,65,avian
CSWA,Chestnut-sided Warbler,1,avian
SSHA,Sharp-shinned hawk,9,avian
SWTH,Swainson's thrush,16,avian
SYFL,Eastern cottontail,547,mammal
HOME,Hooded Merganser,2,avian
TAST,Eastern chipmunk,97,mammal
TECA,Eastern box turtle,135,reptile
NOPA,Northern Parula,5,avian
TRES,Tree swallow,10,avian
RUGR,Ruffed Grouse,33,avian
TUVU,Turkey vulture,9,avian
VIRA,Virginia rail,2,avian
WBNU,White-breasted nuthatch,11,avian
WIFL,Willow flycatcher,2,avian
WODU,Wood duck,20,avian
WOTH,Wood thrush,15,avian
BTBW,Black-Throated Blue Warbler,4,avian
CLSW,Cliff Swallow,1,avian
YRWA,Yellow-Rumped Warbler,2,avian
FXSP,Fox Sparrow,1,avian
YWAR,Yellow warbler,1,avian
HOLA,Horned Lark,1,avian
BAEA,Bald Eagle,10,avian
BBWA,Bay-breasted Warbler,2,avian
GCFL,Great Crested Flycatcher,3,avian
LATR,Eastern milk Snake,5,reptile
STOD,Common musk turtle,1,reptile
RUDU,Ruddy Duck,2,avian
ROTE,Royal Tern,3,avian
DCCO,Double-crested cormorant,5,avian
CHPI,Painted Turtle,1,reptile
MAWA,Magnolia Warbler,2,avian
DRCI,American green tree frog,3,amphibian
NOWA,Northern Waterthrush,1,avian
SNGO,Snow Goose,1,avian
HENA,Western Hognose Snake,1,reptile
CRAL,Salamander-Hellbender,1,amphibian
YBCH,Yellow Breasted Chat,1,avian
CAAL,Sanderling,1,avian
LAGE,Eastern Kingsnake,1,reptile
LESC,Lesser scaup,1,avian
STDE,Dekay's Brown Snake,1,reptile
